Freq.	V(n007)/V(n010)	V(n002)/V(n010)	V(n004)/V(n002)	V(n004)/V(n010)	V(n004)	V(p002)
5.24807460249770e+04	(6.79918767949149e-04dB,-8.97909242200316e-01°)	(1.35480452576250e+01dB,1.75059912641558e+02°)	(5.36943196754150e+00dB,-1.11463817881471e+02°)	(1.89174772251665e+01dB,6.35960947600872e+01°)	(-2.10825227748335e+01dB,6.35960947600872e+01°)	(-2.64543894309191e+01dB,1.75397617600958e+02°)
5.37031796370250e+04	(4.62544946681434e-04dB,-9.20951254448118e-01°)	(1.24324658151239e+01dB,1.49263513191175e+02°)	(7.17077036553534e+00dB,-1.16481722825363e+02°)	(1.96032361806592e+01dB,3.27817903658124e+01°)	(-2.03967638193408e+01dB,3.27817903658124e+01°)	(-2.75707982736809e+01dB,1.49588770826680e+02°)
5.49540873857622e+04	(1.99312733599988e-04dB,-9.42737563117393e-01°)	(1.03833526914298e+01dB,1.31618593818694e+02°)	(9.30767135045800e+00dB,-1.24353000667670e+02°)	(1.96910240418878e+01dB,7.26559315102357e+00°)	(-2.03089759581122e+01dB,7.26559315102357e+00°)	(-2.96214082014319e+01dB,1.31931281951798e+02°)
5.62341325190346e+04	(3.78662098415482e-05dB,-9.64327703265598e-01°)	(8.31024629039925e+00dB,1.20640200020110e+02°)	(1.17634922296243e+01dB,-1.37738855048808e+02°)	(2.00737385200236e+01dB,-1.70986550286983e+01°)	(-1.99262614799764e+01dB,-1.70986550286983e+01°)	(-3.16973035993197e+01dB,1.20943959522936e+02°)
5.75439937337154e+04	(-5.14563164091593e-05dB,-9.86331312414812e-01°)	(6.45722918424236e+00dB,1.13525678953328e+02°)	(1.40060432440757e+01dB,-1.61110311450922e+02°)	(2.04632724283180e+01dB,-4.75846324975939e+01°)	(-1.95367275716820e+01dB,-4.75846324975939e+01°)	(-3.35543274144954e+01dB,1.13839209128180e+02°)
5.88843655355586e+04	(-1.00959222692299e-04dB,-1.00889890318178e+00°)	(4.82498235209005e+00dB,1.08795031007520e+02°)	(1.43644988653946e+01dB,1.66568333829219e+02°)	(1.91894812174846e+01dB,-8.46366351632602e+01°)	(-2.08105187825154e+01dB,-8.46366351632602e+01°)	(-3.51866752887533e+01dB,1.09143822880540e+02°)
6.02559586074355e+04	(-1.28301267754097e-04dB,-1.03207413364649e+00°)	(3.42142788114670e+00dB,1.05614441661243e+02°)	(1.24285501224059e+01dB,1.40075202648406e+02°)	(1.58499780035526e+01dB,-1.14310355690350e+02°)	(-2.41500219964474e+01dB,-1.14310355690350e+02°)	(-3.65856461393636e+01dB,1.05974896635664e+02°)
6.16595001861479e+04	(-1.44652344394765e-04dB,-1.05585940689164e+00°)	(2.20873370287724e+00dB,1.03234724680855e+02°)	(9.93632043245159e+00dB,1.24502567466336e+02°)	(1.21450541353288e+01dB,-1.32262707852809e+02°)	(-2.78549458646712e+01dB,-1.32262707852809e+02°)	(-3.77951316435288e+01dB,1.03584356690450e+02°)
6.30957344480190e+04	(-1.54845894164858e-04dB,-1.08024797614551e+00°)	(1.13505778630377e+00dB,1.01348677510181e+02°)	(7.70511572766454e+00dB,1.15504463527589e+02°)	(8.84017351396831e+00dB,-1.43146858962230e+02°)	(-3.11598264860317e+01dB,-1.43146858962230e+02°)	(-3.88672405221479e+01dB,1.01684280923069e+02°)
6.45654229034652e+04	(-1.61119797395774e-04dB,-1.10524079367272e+00°)	(1.69756996965876e-01dB,9.98180779924970e+01°)	(5.82117829680991e+00dB,1.09887218459197e+02°)	(5.99093529377579e+00dB,-1.50294703548306e+02°)	(-3.40090647062242e+01dB,-1.50294703548306e+02°)	(-3.98317590059884e+01dB,1.00140981064471e+02°)
6.60693448007593e+04	(-1.64760108862120e-04dB,-1.13084337224566e+00°)	(-7.07293571474612e-01dB,9.85517954211801e+01°)	(4.22469028090459e+00dB,1.06102407248260e+02°)	(3.51739670942998e+00dB,-1.55345797330560e+02°)	(-3.64826032905700e+01dB,-1.55345797330560e+02°)	(-4.07083855221828e+01dB,9.88635700629257e+01°)
6.76082975391979e+04	(-1.66558590666982e-04dB,-1.15706386591322e+00°)	(-1.51097310339384e+00dB,9.74854437838547e+01°)	(2.85063643737658e+00dB,1.03392202969334e+02°)	(1.33966333398274e+00dB,-1.59122353246812e+02°)	(-3.86603366660173e+01dB,-1.59122353246812e+02°)	(-4.15118165833822e+01dB,9.77873164056228e+01°)
6.91830970918933e+04	(-1.67018672189732e-04dB,-1.18391225074936e+00°)	(-2.25280582504527e+00dB,9.65729480963869e+01°)	(1.64875836272407e+00dB,1.01357488376978e+02°)	(-6.04047462321194e-01dB,-1.62069563526635e+02°)	(-4.06040474623212e+01dB,-1.62069563526635e+02°)	(-4.22534940272910e+01dB,9.68658311001483e+01°)
